prop_id,prop_type,province,city,location,bedrooms,bathrooms,area,purpose,date_added,price
3630,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,7/11/2023,PKR1.45 Crore
3631,Upper Portion,Sindh,Karachi,"Scheme 33, Karachi, Sindh",4,4,200 Sq. Yd.,For Sale,7/11/2023,PKR1.2 Crore
3632,Flat,Sindh,Karachi,"Cantt, Karachi, Sindh",3,3,289 Sq. Yd.,For Sale,6/27/2023,PKR4.15 Crore
3633,Flat,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,94 Sq. Yd.,For Sale,7/11/2023,PKR70 Lakh
3634,Flat,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,117 Sq. Yd.,For Sale,7/11/2023,PKR1.5 Crore
3635,Flat,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,94 Sq. Yd.,For Sale,7/11/2023,PKR65 Lakh
3636,Flat,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,94 Sq. Yd.,For Sale,7/11/2023,PKR75 Lakh
3637,Lower Portion,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,130 Sq. Yd.,For Sale,7/11/2023,PKR1.2 Crore
3638,House,Sindh,Karachi,"Scheme 33, Karachi, Sindh",-,-,400 Sq. Yd.,For Sale,7/11/2023,PKR5.9 Crore
3639,Flat,Sindh,Karachi,"Liaquat Avenue, Karachi, Sindh",3,4,100 Sq. Yd.,For Sale,7/4/2023,PKR1 Crore
3640,House,Sindh,Karachi,"Gadap Town, Karachi, Sindh",2,2,80 Sq. Yd.,For Sale,7/11/2023,PKR85 Lakh
3641,House,Sindh,Karachi,"Malir Link To Super Highway, Karachi, Sindh",5,3,120 Sq. Yd.,For Sale,6/27/2023,PKR2.8 Crore
3642,House,Sindh,Karachi,"North Karachi, Karachi, Sindh",4,5,150 Sq. Yd.,For Sale,7/11/2023,PKR2.8 Crore
3643,House,Sindh,Karachi,"Bin Qasim Town, Karachi, Sindh",6,5,120 Sq. Yd.,For Sale,7/11/2023,PKR5 Crore
3644,House,Sindh,Karachi,"North Karachi, Karachi, Sindh",-,10,200 Sq. Yd.,For Sale,7/11/2023,PKR3.1 Crore
3645,House,Sindh,Karachi,"North Karachi, Karachi, Sindh",2,2,120 Sq. Yd.,For Sale,7/2/2023,PKR1.9 Crore
3646,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",5,5,"1,085 Sq. Yd.",For Sale,6/27/2023,PKR13.75 Crore
3647,Penthouse,Sindh,Karachi,"North Nazimabad, Karachi, Sindh",-,-,200 Sq. Yd.,For Sale,7/11/2023,PKR60 Lakh
3648,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",3,3,167 Sq. Yd.,For Sale,7/4/2023,PKR82 Lakh
3649,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",2,2,89 Sq. Yd.,For Sale,7/4/2023,PKR50 Lakh
3650,House,Sindh,Karachi,"Scheme 33, Karachi, Sindh",4,4,120 Sq. Yd.,For Sale,7/4/2023,PKR2.65 Crore
3651,House,Sindh,Karachi,"Gulshan-e-Iqbal Town, Karachi, Sindh",-,-,560 Sq. Yd.,For Sale,7/11/2023,PKR15 Crore
3652,House,Sindh,Karachi,"KDA Scheme 1, Karachi, Sindh",-,-,"1,185 Sq. Yd.",For Sale,7/11/2023,PKR30 Crore
3653,Upper Portion,Sindh,Karachi,"Nazimabad, Karachi, Sindh",3,3,150 Sq. Yd.,For Sale,7/11/2023,PKR1.35 Crore
3654,Flat,Sindh,Karachi,"Tariq Road, Karachi, Sindh",2,2,111 Sq. Yd.,For Sale,7/11/2023,PKR1.5 Crore
3655,House,Sindh,Karachi,"Gadap Town, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,7/11/2023,PKR1.85 Crore
3656,Flat,Sindh,Karachi,"Shaheed Millat Road, Karachi, Sindh",4,3,222 Sq. Yd.,For Sale,7/18/2023,PKR5.5 Crore
3657,House,Sindh,Karachi,"Northern Bypass, Karachi, Sindh",6,5,350 Sq. Yd.,For Sale,6/27/2023,PKR8.65 Crore
3658,House,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",5,4,120 Sq. Yd.,For Sale,7/18/2023,PKR2.4 Crore
3659,House,Sindh,Karachi,"Malir, Karachi, Sindh",3,4,160 Sq. Yd.,For Sale,7/18/2023,PKR2.65 Crore
3660,Lower Portion,Sindh,Karachi,"Khalid Bin Walid Road, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,7/18/2023,PKR3.75 Crore
3661,House,Sindh,Karachi,"DHA Defence, Karachi, Sindh",6,6,"1,000 Sq. Yd.",For Sale,7/18/2023,PKR19.5 Crore
3662,House,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",4,4,100 Sq. Yd.,For Sale,7/18/2023,PKR1.6 Crore
3663,Flat,Sindh,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh",-,-,161 Sq. Yd.,For Sale,7/11/2023,PKR1.55 Crore
3664,House,Sindh,Karachi,"Scheme 33, Karachi, Sindh",6,6,120 Sq. Yd.,For Sale,7/18/2023,PKR1.8 Crore
3665,House,Sindh,Karachi,"Scheme 33, Karachi, Sindh",6,6,200 Sq. Yd.,For Sale,7/18/2023,PKR2.8 Crore
3666,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,7/18/2023,PKR2.35 Crore
3667,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,7/18/2023,PKR2 Crore
3668,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,7/18/2023,PKR2 Crore
3669,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,7/18/2023,PKR2.3 Crore
3670,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,7/18/2023,PKR1.95 Crore
3671,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,7/18/2023,PKR2 Crore
3672,House,Sindh,Karachi,"Bahria Town Karachi, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,7/18/2023,PKR2.3 Crore
3673,Upper Portion,Sindh,Karachi,"Nazimabad, Karachi, Sindh",3,3,216 Sq. Yd.,For Sale,7/11/2023,PKR1.7 Crore
